name;type;status;date;genres;score;members;rank;popularity;image;quantity
Mahjong Hishouden: Naki no Ryuu;OVA;Finished Airing;May 25, 1988 to Jul 27, 1990;Action, Drama, Game, Seinen;N/A;845;15159;10584;https://cdn.myanimelist.net/images/anime/1556/96601.jpg;3
Mahoraba: Heartful days;TV;Finished Airing;Jan 10, 2005 to Jun 27, 2005;Comedy, Drama, Romance, Shounen;7.35;N/A;2118;3405;https://cdn.myanimelist.net/images/anime/3/50903.jpg;26
Mahoromatic 2 End Year Special;Special;Finished Airing;Dec 21, 2002;Ecchi, Romance, Comedy, Military, Sci-Fi;6.99;N/A;3651;6106;https://cdn.myanimelist.net/images/anime/2/9745.jpg;1
Mahoromatic End Year Special;Special;Finished Airing;Dec 14, 2001;Ecchi, Romance, Comedy, Military, Sci-Fi;6.93;N/A;3875;5861;https://cdn.myanimelist.net/images/anime/3/13439.jpg;1
Mahoromatic Summer Special;Special;Finished Airing;Aug 15, 2003;Ecchi, Romance, Comedy, Sci-Fi;7.13;N/A;3060;4768;https://cdn.myanimelist.net/images/anime/1/631.jpg;1
Mahoromatic: Automatic Maiden;TV;Finished Airing;Oct 5, 2001 to Dec 28, 2001;Comedy, Ecchi, Military, Romance, Sci-Fi;7.19;N/A;2798;2111;https://cdn.myanimelist.net/images/anime/13/23051.jpg;12
Mahoromatic: Motto Utsukushii MonoMahoromatic ~Something More Beautiful~;TV;Finished Airing;Sep 26, 2002 to Jan 16, 2003;Military, Sci-Fi, Comedy, Drama, Romance, Ecchi;7.18;N/A;2849;2967;N/A;14
Mahoromatic: Tadaima OkaeriMahoromatic: I'm Home!;Special;Finished Airing;Oct 17, 2009 to Oct 24, 2009;Sci-Fi, Comedy, Romance, Ecchi;7.08;N/A;3303;5188;N/A;2
Mahou Gakuen Lunar! Aoi Ryuu no Himitsu;Movie;Finished Airing;Mar 15, 1997;Fantasy, Magic, Comedy;6.07;N/A;7816;10029;https://cdn.myanimelist.net/images/anime/8/37835.jpg;1
Mahou no Angel Sweet Mint;TV;Finished Airing;May 2, 1990 to Mar 27, 1991;Magic, Shoujo;6.36;N/A;6504;8867;https://cdn.myanimelist.net/images/anime/4/26109.jpg;47
Mahou no Chocolate;OVA;Finished Airing;Aug 30, 2001;Drama, Romance;5.29;N/A;9904;7650;https://cdn.myanimelist.net/images/anime/2/4906.jpg;1
Mahou no Hiroba;Music;Finished Airing;2001;Music, Fantasy;4.51;365;10639;12654;https://cdn.myanimelist.net/images/anime/7/49629.jpg;1
Mahou no Idol Pastel YumiMagical Idol Pastel Yumi;TV;Finished Airing;Mar 7, 1986 to Aug 29, 1986;Comedy, Fantasy, Kids, Magic, Shoujo;6.26;N/A;6976;8616;N/A;25
Mahou no LumiTearLuminary Tears;ONA;Finished Airing;Mar 29, 2019;Fantasy, Magic, Shoujo;N/A;469;15160;12012;N/A;10
Mahou no Mako-chan;TV;Finished Airing;Nov 2, 1970 to Sep 27, 1971;Fantasy, Magic, Romance, Shoujo;6.30;N/A;6790;9633;https://cdn.myanimelist.net/images/anime/7/56381.jpg;48
Mahou no Pen;Movie;Finished Airing;1946;Historical;5.60;334;9221;12870;https://cdn.myanimelist.net/images/anime/7/18053.jpg;1
Mahou no Princess Minky MomoMagical Princess Minky Momo;TV;Finished Airing;Mar 18, 1982 to May 26, 1983;Magic, Shoujo;6.75;N/A;4629;6136;N/A;63
Mahou no Princess Minky Momo vs. Mahou no Tenshi Creamy Mami;Movie;Finished Airing;Aug 3, 1985;Magic, Shoujo;5.89;N/A;8402;9825;https://cdn.myanimelist.net/images/anime/13/24837.jpg;1
Mahou no Princess Minky Momo: Hitomi no Seiza - Minky Momo Song Special;Music;Finished Airing;Jan 21, 1987;Magic, Music, Shoujo;5.75;425;8819;12265;https://cdn.myanimelist.net/images/anime/9/59895.jpg;1
Mahou no Princess Minky Momo: Yume no Naka no RondoMagical Princess Minky Momo: La Ronde in my Dream;OVA;Finished Airing;Jul 28, 1985;Magic, Shoujo;6.54;N/A;5652;9391;N/A;1
Mahou no Princess Minky Momo: Yume wo DakishimeteMagical Princess Minky Momo: Hold on to Your Dreams;TV;Finished Airing;Oct 2, 1991 to Dec 23, 1992;Magic, Shoujo;6.64;N/A;5178;8839;N/A;62
Mahou no Princess Minky Momo: Yume wo Dakishimete Specials;Special;Finished Airing;Not available;Magic, Shoujo;N/A;518;15161;11762;https://cdn.myanimelist.net/images/anime/5/72623.jpg;3
Mahou no Rouge Lipstick;OVA;Finished Airing;Jul 10, 1985;Hentai;5.37;744;N/A;10886;https://cdn.myanimelist.net/images/anime/6/27667.jpg;1
Mahou no Ryouri: Kimi kara Kimi e;Music;Finished Airing;Apr 1, 2010;Kids, Music;N/A;105;15162;16364;https://cdn.myanimelist.net/images/anime/1240/98552.jpg;1
Mahou no Shiho-chan;OVA;Finished Airing;Oct 25, 1996 to Jun 27, 1997;Hentai, Magic;5.29;992;N/A;10255;https://cdn.myanimelist.net/images/anime/2/11032.jpg;2
Mahou no Stage Fancy LalaMagical Stage Fancy Lala;TV;Finished Airing;Apr 5, 1998 to Sep 27, 1998;Music, Comedy, Drama, Magic, Romance, Shoujo;7.12;N/A;3116;4925;N/A;26
Mahou no Star Magical Emi;TV;Finished Airing;Jun 7, 1985 to Feb 28, 1986;Comedy, Magic, Shoujo, Slice of Life;6.70;N/A;4866;7321;https://cdn.myanimelist.net/images/anime/1228/106161.jpg;38
Mahou no Star Magical Emi: Finale! Finale!;OVA;Finished Airing;May 25, 1986;Comedy, Magic, Shoujo;N/A;363;15163;12636;https://cdn.myanimelist.net/images/anime/5/80148.jpg;1
Mahou no Star Magical Emi: Kumo Hikaru;OVA;Finished Airing;May 25, 2002;Comedy, Shoujo, Slice of Life;6.14;718;7514;10981;https://cdn.myanimelist.net/images/anime/6/60083.jpg;1
Mahou no Star Magical Emi: Semishigure;OVA;Finished Airing;Sep 21, 1986;Comedy, Magic, Shoujo;6.06;677;7870;11120;https://cdn.myanimelist.net/images/anime/11/46131.jpg;1
Mahou no Tenshi Creamy MamiMagical Angel Creamy Mami;TV;Finished Airing;Jul 1, 1983 to Jun 29, 1984;Comedy, Fantasy, Magic, Romance, School, Sci-Fi, Shoujo;7.14;N/A;3034;4772;N/A;52
Mahou no Tenshi Creamy Mami no Otogibanashi;Special;Finished Airing;May 28, 2014;Fantasy, Magic, Shoujo;N/A;353;15164;12702;https://cdn.myanimelist.net/images/anime/9/77436.jpg;1
Mahou no Tenshi Creamy Mami: Curtain Call;Music;Finished Airing;Feb 1, 1986;Music, Comedy, Shoujo;5.89;582;8403;11483;https://cdn.myanimelist.net/images/anime/2/89252.jpg;1
Mahou no Tenshi Creamy Mami: Eien no Once More;OVA;Finished Airing;Oct 28, 1984;Comedy, Fantasy, Magic, Romance, Shoujo;6.30;993;6791;10248;https://cdn.myanimelist.net/images/anime/13/85159.jpg;1
Mahou no Tenshi Creamy Mami: Long Goodbye;OVA;Finished Airing;Jun 15, 1985;Comedy, Fantasy, Magic, Romance, Shoujo;6.36;929;6505;10388;https://cdn.myanimelist.net/images/anime/9/24833.jpg;1
Mahou no Tenshi Creamy Mami: Lovely Serenade;Music;Finished Airing;Mar 28, 1985;Music;5.80;684;8694;11105;https://cdn.myanimelist.net/images/anime/12/7583.jpg;1
Mahou no Tenshi Creamy Mami: Perfect Memory;OVA;Finished Airing;Mar 28, 1987;Parody, Shoujo, Slice of Life;N/A;352;15165;12710;https://cdn.myanimelist.net/images/anime/8/77437.jpg;1
Mahou no Tenshi Creamy Mami: Zutto Kitto Motto;Music;Finished Airing;Mar 25, 1998;Fantasy, Magic, Music, Romance, School, Sci-Fi, Shoujo;5.91;489;8348;11910;https://cdn.myanimelist.net/images/anime/7/77435.jpg;1
Mahou no Yousei Persia;TV;Finished Airing;Jul 6, 1984 to May 31, 1985;Comedy, Magic;6.62;N/A;5263;8473;https://cdn.myanimelist.net/images/anime/8/41447.jpg;48
Mahou no Yousei Persia Pilot;Special;Finished Airing;May 23, 2003;Magic;N/A;337;15166;12847;https://cdn.myanimelist.net/images/anime/2/58315.jpg;1
Mahou no Yousei Persia: Escape!;Music;Finished Airing;Mar 25, 1999;Music;5.81;396;8652;12454;https://cdn.myanimelist.net/images/anime/6/58393.jpg;1
Mahou no Yousei Persia: Kaiten Mokuba;OVA;Finished Airing;Sep 25, 1987;Comedy, Magic;N/A;244;15167;13872;https://cdn.myanimelist.net/images/anime/8/85623.jpg;1
Mahou Sensei Negima!Negima!;TV;Finished Airing;Jan 6, 2005 to Jun 30, 2005;Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School, Shounen, Super Power, Supernatural;6.99;N/A;3652;1164;N/A;26
Mahou Sensei Negima! Movie: Anime Final;Movie;Finished Airing;Aug 27, 2011;Adventure, Supernatural, Magic;6.79;N/A;4453;3762;https://cdn.myanimelist.net/images/anime/6/29541.jpg;1
Mahou Sensei Negima! Tokubetsu Eizou;Music;Finished Airing;Nov 17, 2016;Music;6.14;N/A;7515;9379;https://cdn.myanimelist.net/images/anime/6/84998.jpg;4
Mahou Sensei Negima!: Introduction Film;OVA;Finished Airing;Aug 25, 2004 to Mar 24, 2005;Action, Harem, Comedy, Supernatural, Romance, Ecchi;6.68;N/A;4969;4738;https://cdn.myanimelist.net/images/anime/5/8864.jpg;3
Mahou Sensei Negima!: Mou Hitotsu no Sekai;OVA;Finished Airing;Sep 17, 2009 to Aug 17, 2010;Action, Adventure, Supernatural, Magic, Ecchi, Shounen;7.65;N/A;1152;3470;https://cdn.myanimelist.net/images/anime/8/15192.jpg;4
Mahou Sensei Negima!: Mou Hitotsu no Sekai Extra - Mahou Shoujo Yue♥;OVA;Finished Airing;Nov 17, 2010;Action, Adventure, Magic, Ecchi, Fantasy, School, Shounen;7.28;N/A;2445;5150;https://cdn.myanimelist.net/images/anime/2/29245.jpg;1
Mahou Sensei Negima!: Shiroki Tsubasa Ala Alba;OVA;Finished Airing;Aug 12, 2008 to Feb 17, 2009;Adventure, Harem, Comedy, Supernatural, Magic, Romance, Ecchi, Vampire, Shounen;7.47;N/A;1668;3073;https://cdn.myanimelist.net/images/anime/5/9329.jpg;3
Mahou Senshi LouieRune Soldier;TV;Finished Airing;Apr 3, 2001 to Sep 18, 2001;Adventure, Comedy, Fantasy, Magic, Shounen;7.18;N/A;2850;3731;N/A;24
Mahou Senshi Sweet Knights: Heroine Ryoujoku Shirei;OVA;Finished Airing;Apr 23, 2004 to Aug 27, 2004;Hentai;5.74;N/A;N/A;9463;https://cdn.myanimelist.net/images/anime/12/10956.jpg;2
Mahou SensouMagical Warfare;TV;Finished Airing;Jan 10, 2014 to Mar 28, 2014;Action, Fantasy, Magic;6.04;N/A;7962;696;N/A;12
Mahou Shoujo Ai;OVA;Finished Airing;Aug 25, 2003 to Feb 25, 2005;Action, Hentai, Horror, Supernatural;6.55;N/A;N/A;5429;https://cdn.myanimelist.net/images/anime/9/20045.jpg;5
Mahou Shoujo Ai San: The Anime;OVA;Finished Airing;Jan 25, 2009 to May 25, 2009;Demons, Hentai, School, Supernatural;6.26;N/A;N/A;7553;https://cdn.myanimelist.net/images/anime/10/12293.jpg;3
Mahou Shoujo Elena;OVA;Finished Airing;Jul 8, 2011 to Feb 22, 2013;Hentai, Supernatural, Magic;6.51;N/A;N/A;5890;https://cdn.myanimelist.net/images/anime/1993/104260.jpg;3
Mahou Shoujo Ikusei KeikakuMagical Girl Raising Project;TV;Finished Airing;Oct 2, 2016 to Dec 18, 2016;Action, Fantasy, Magic, Supernatural, Thriller;7.01;N/A;3576;1122;N/A;12
Mahou Shoujo Isuka;OVA;Finished Airing;Apr 24, 2010 to Aug 26, 2011;Hentai;6.32;N/A;N/A;6659;https://cdn.myanimelist.net/images/anime/1799/104261.jpg;3
Mahou Shoujo Lalabel;TV;Finished Airing;Feb 15, 1980 to Feb 27, 1981;Slice of Life, Magic, Comedy, Shoujo;6.35;N/A;6538;9485;https://cdn.myanimelist.net/images/anime/6/17538.jpg;49
Mahou Shoujo Lalabel: Umi ga Yobu Natsuyasumi;Movie;Finished Airing;Jul 12, 1980;Slice of Life, Magic, Comedy, Shoujo;5.68;665;9037;11165;https://cdn.myanimelist.net/images/anime/1912/106130.jpg;1
Mahou Shoujo Liese Prettia;ONA;Finished Airing;Nov 9, 2018;Magic;N/A;213;15168;14343;https://cdn.myanimelist.net/images/anime/1092/96236.jpg;1
Mahou Shoujo Lyrical NanohaMagical Girl Lyrical Nanoha;TV;Finished Airing;Oct 3, 2004 to Dec 26, 2004;Action, Comedy, Drama, Magic, Super Power;7.43;N/A;1796;1486;N/A;13
Mahou Shoujo Lyrical Nanoha A'sMagical Girl Lyrical Nanoha A's;TV;Finished Airing;Oct 2, 2005 to Dec 25, 2005;Action, Comedy, Drama, Magic, Super Power;8.00;N/A;532;2013;N/A;13
Mahou Shoujo Lyrical Nanoha A's Picture Drama;Special;Finished Airing;Nov 5, 2014;Comedy, Magic, Parody;5.93;888;8291;10487;https://cdn.myanimelist.net/images/anime/1237/93063.jpg;1
Mahou Shoujo Lyrical Nanoha Picture Drama;Special;Finished Airing;Oct 1, 2014;Comedy, Parody, Magic;5.88;847;8456;10579;https://cdn.myanimelist.net/images/anime/7/85556.jpg;1
Mahou Shoujo Lyrical Nanoha StrikerSMagical Girl Lyrical Nanoha StrikerS;TV;Finished Airing;Apr 2, 2007 to Sep 24, 2007;Action, Magic, Comedy, Super Power, Drama;7.65;N/A;1153;2253;N/A;26
Mahou Shoujo Lyrical Nanoha StrikerS Picture Drama;Special;Finished Airing;Feb 25, 2015;Comedy, Magic, Parody, School;5.81;813;8653;10687;https://cdn.myanimelist.net/images/anime/1989/93064.jpg;1
Mahou Shoujo Lyrical Nanoha ViVid;TV;Finished Airing;Apr 3, 2015 to Jun 19, 2015;Action, Adventure, Magic, Martial Arts;6.75;N/A;4630;3457;https://cdn.myanimelist.net/images/anime/9/72718.jpg;12
Mahou Shoujo Lyrical Nanoha ViVid: Special Program;Special;Finished Airing;Jun 26, 2015;Action, Magic, Martial Arts;6.12;N/A;7598;8217;https://cdn.myanimelist.net/images/anime/8/74785.jpg;1
Mahou Shoujo Lyrical Nanoha: Detonation;Movie;Finished Airing;Oct 19, 2018;Action, Comedy, Drama, Magic, Super Power;7.53;N/A;1500;5765;https://cdn.myanimelist.net/images/anime/1084/93086.jpg;1
Mahou Shoujo Lyrical Nanoha: Lyrical Toy Box;Music;Finished Airing;Jun 29, 2001;Magic, Music;5.77;N/A;8766;7849;https://cdn.myanimelist.net/images/anime/9/34203.jpg;1
Mahou Shoujo Lyrical Nanoha: ReflectionMagical Girl Lyrical Nanoha Reflection;Movie;Finished Airing;Jul 22, 2017;Action, Drama, Magic, Sci-Fi;7.47;N/A;1669;4592;N/A;1
Mahou Shoujo Lyrical Nanoha: The Movie 1stMagical Girl Lyrical Nanoha: The Movie 1st;Movie;Finished Airing;Jan 23, 2010;Action, Sci-Fi, Comedy, Drama, Magic;7.91;N/A;651;3026;N/A;1
Mahou Shoujo Lyrical Nanoha: The Movie 2nd A'sMagical Girl Lyrical Nanoha: The Movie 2nd A's;Movie;Finished Airing;Jul 14, 2012;Action, Magic, Comedy, Sci-Fi, Drama;8.19;N/A;310;3528;N/A;1
Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's Mini Picture Drama;Special;Finished Airing;Mar 22, 2013;Comedy, Parody, Magic;6.06;N/A;7871;9898;https://cdn.myanimelist.net/images/anime/13/83502.jpg;2
Mahou Shoujo Madoka★MagicaPuella Magi Madoka Magica;TV;Finished Airing;Jan 7, 2011 to Apr 22, 2011;Psychological, Drama, Magic, Thriller;8.39;N/A;160;66;N/A;12
Mahou Shoujo Madoka★Magica Movie 1: Hajimari no MonogatariPuella Magi Madoka Magica the Movie Part 1: Beginnings;Movie;Finished Airing;Oct 6, 2012;Psychological, Drama, Magic, Thriller;8.23;N/A;276;893;N/A;1
Mahou Shoujo Madoka★Magica Movie 2: Eien no MonogatariPuella Magi Madoka Magica the Movie Part 2: Eternal;Movie;Finished Airing;Oct 13, 2012;Drama, Magic, Psychological, Thriller;8.39;N/A;161;882;N/A;1
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no MonogatariPuella Magi Madoka Magica the Movie: Rebellion;Movie;Finished Airing;Oct 26, 2013;Mystery, Psychological, Drama, Magic, Thriller;8.44;N/A;127;470;N/A;1
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari - Magica Quartet x Nisioisin;Movie;Finished Airing;Oct 26, 2013;Comedy;6.20;N/A;7261;4392;https://cdn.myanimelist.net/images/anime/5/61633.jpg;4
Mahou Shoujo Madoka★Magica: Concept MoviePuella Magi Madoka Magica Concept Movie;Movie;Finished Airing;Nov 27, 2015;Drama, Magic, Psychological, Thriller;7.12;N/A;3117;3553;N/A;1
Mahou Shoujo MeruruMagic Woman M;OVA;Finished Airing;Jan 21, 1997 to Apr 25, 1998;Adventure, Fantasy, Magic, Hentai;5.66;N/A;N/A;8815;N/A;2
Mahou Shoujo Nante Mou Ii Desukara.Mahou Shoujo Nante Mouiidesukara;TV;Finished Airing;Jan 12, 2016 to Mar 29, 2016;Comedy, Magic;5.94;N/A;8267;3411;N/A;12
Mahou Shoujo Nante Mou Ii Desukara. Second SeasonMahou Shoujo Nante Mouiidesukara Second Season;TV;Finished Airing;Oct 5, 2016 to Dec 21, 2016;Comedy, Magic;6.08;N/A;7787;4650;N/A;12
Mahou Shoujo OreMagical Girl Ore;TV;Finished Airing;Apr 2, 2018 to Jun 18, 2018;Comedy, Fantasy, Magic;6.65;N/A;5105;1794;N/A;12
Mahou Shoujo Pretty SammyMagical Girl Pretty Sammy;OVA;Finished Airing;Aug 25, 1995 to Aug 24, 1997;Comedy, Parody, Magic, Fantasy;6.40;N/A;6331;5829;N/A;3
Mahou Shoujo Pretty Sammy (1996)Magical Project S;TV;Finished Airing;Oct 4, 1996 to Mar 28, 1997;Comedy, Parody, Magic, Fantasy, Seinen;6.73;N/A;4706;5970;N/A;26
Mahou Shoujo Pretty Sammy SpecialsMagical Project S Specials;Special;Finished Airing;1997;Adventure, Comedy, Fantasy, Magic, Parody, Seinen;6.27;N/A;6917;9644;N/A;7
Mahou Shoujo Sae;OVA;Finished Airing;Apr 28, 2006 to Dec 22, 2006;Hentai;5.57;N/A;N/A;9084;https://cdn.myanimelist.net/images/anime/8/11033.jpg;2
Mahou Shoujo SiteMagical Girl Site;TV;Finished Airing;Apr 7, 2018 to Jun 23, 2018;Drama, Horror, Psychological, Supernatural;6.49;N/A;5875;996;N/A;12
Mahou Shoujo Site Recaps;Special;Finished Airing;May 10, 2018 to Jun 13, 2018;Horror, Psychological, Supernatural, Drama;6.22;N/A;7154;7303;https://cdn.myanimelist.net/images/anime/1255/93332.jpg;2
Mahou Shoujo Sonico★MagicaPuella Magi Sonico Magica;ONA;Finished Airing;Apr 1, 2011;Music, Parody;5.83;N/A;8589;3688;N/A;1
Mahou Shoujo TaisenMagica Wars;TV;Finished Airing;Apr 8, 2014 to Sep 30, 2014;Magic;5.77;N/A;8767;3981;N/A;26
Mahou Shoujo Tokushusen AsukaMagical Girl Spec-Ops Asuka;TV;Finished Airing;Jan 12, 2019 to Mar 30, 2019;Action, Drama, Magic, Military, Seinen;6.35;N/A;6539;1931;N/A;12
Mahou Shoujo wa Kiss Shite Kawaru;OVA;Finished Airing;Aug 22, 2014;Hentai;5.08;N/A;N/A;8684;https://cdn.myanimelist.net/images/anime/1701/104262.jpg;1
Mahou Shoujo-tai ArusuTweeny Witches;TV;Finished Airing;Apr 9, 2004 to Mar 4, 2005;Adventure, Comedy, Fantasy, Magic;7.11;N/A;3146;3197;N/A;40
Mahou Shoujo-tai Arusu the AdventureTweeny Witches: Alice Adventures;OVA;Finished Airing;Nov 22, 2007;Adventure, Comedy, Fantasy, Magic;6.78;N/A;4504;6590;N/A;6
Mahou Shoujo? Naria☆GirlsMahou Shoujo? Naria Girls;TV;Finished Airing;Jul 7, 2016 to Sep 22, 2016;Magic;3.84;N/A;10729;5767;N/A;12
Mahou Shoujo? Naria☆Girls Nama de Anime wo Tsukuru Sama;ONA;Finished Airing;Jul 1, 2016 to Sep 16, 2016;Comedy, Magic;N/A;512;15169;11787;https://cdn.myanimelist.net/images/anime/8/81105.jpg;12
Mahou Yuugi 2DMagical Play;ONA;Finished Airing;Nov 16, 2001 to May 3, 2002;Adventure, Comedy, Magic, Fantasy;6.39;N/A;6361;7594;N/A;24
Mahou Yuugi 3D;OVA;Finished Airing;Dec 29, 2001;Comedy, Magic;5.67;N/A;9049;9116;https://cdn.myanimelist.net/images/anime/1/2513.jpg;1
Mahoujin Guru Guru MovieMagical Circle Guru Guru Movie;Movie;Finished Airing;Apr 20, 1996;Adventure, Comedy, Fantasy, Magic, Shounen;6.82;N/A;4341;9144;N/A;1
Mahoujin GuruguruMagical Circle Guru Guru;TV;Finished Airing;Oct 13, 1994 to Sep 14, 1995;Adventure, Comedy, Magic, Fantasy, Shounen;7.63;N/A;1187;5068;N/A;45
Mahoujin Guruguru (2017)Magical Circle;TV;Finished Airing;Jul 11, 2017 to Dec 20, 2017;Adventure, Fantasy, Magic, Comedy, Shounen;7.87;N/A;704;3037;N/A;24
Mahouka Koukou no RettouseiThe Irregular at Magic High School;TV;Finished Airing;Apr 6, 2014 to Sep 28, 2014;Action, Sci-Fi, Supernatural, Magic, Romance, School;7.56;N/A;1407;112;N/A;26
Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu ShoujoThe Irregular at Magic High School The Movie - The Girl Who Summons The Stars;Movie;Finished Airing;Jun 17, 2017;Action, Sci-Fi, Supernatural, Magic;7.50;N/A;1587;1126;N/A;1
Mahouka Koukou no Rettousei: Raihousha-henThe Irregular at Magic High School: Visitor Arc;TV;Currently Airing;Oct 4, 2020 to ?;Action, Sci-Fi, Supernatural, Magic, Romance, School;7.67;N/A;1108;964;N/A;13
Mahouka x Mameshiba;ONA;Finished Airing;May 24, 2017 to Jun 27, 2017;Comedy, Parody;5.17;N/A;10109;7193;https://cdn.myanimelist.net/images/anime/10/85892.jpg;4
Mahoutsukai Chappy;TV;Finished Airing;Apr 3, 1972 to Dec 25, 1972;Adventure, Kids, Magic;6.11;528;7627;11729;https://cdn.myanimelist.net/images/anime/8/17490.jpg;39
Mahoutsukai Haley no Speed Story;Movie;Finished Airing;Nov 6, 2010;Kids, Magic, Fantasy;N/A;456;15170;12070;https://cdn.myanimelist.net/images/anime/6/22661.jpg;1
Mahoutsukai Jiji;ONA;Finished Airing;Dec 24, 2011;Music, Magic, Fantasy;6.06;N/A;7872;9384;https://cdn.myanimelist.net/images/anime/9/35793.jpg;1
Mahoutsukai Nara Miso wo Kue!;OVA;Finished Airing;Jun 15, 2012;Magic, Fantasy, School;5.27;N/A;9948;5961;https://cdn.myanimelist.net/images/anime/6/39537.jpg;1
Mahoutsukai ni Narenakatta Onnanoko no Hanashi.;TV;Not yet aired;2021 to ?;Drama, Fantasy, Magic, School, Slice of Life;N/A;N/A;N/A;7667;https://cdn.myanimelist.net/images/anime/1755/95859.jpg;N/A
Mahoutsukai ni Taisetsu na KotoSomeday's Dreamers;TV;Finished Airing;Jan 10, 2003 to Mar 28, 2003;Slice of Life, Drama, Magic, Shounen;6.76;N/A;4595;3397;N/A;12
Mahoutsukai ni Taisetsu na Koto: Natsu no SoraSomeday's Dreamers II: Sora;TV;Finished Airing;Jul 3, 2008 to Sep 25, 2008;Slice of Life, Drama, Magic, Romance, Shounen;7.29;N/A;2376;3396;N/A;12
Mahoutsukai no YomeThe Ancient Magus' Bride;TV;Finished Airing;Oct 8, 2017 to Mar 25, 2018;Slice of Life, Magic, Fantasy, Shounen;8.11;N/A;402;160;N/A;24
Mahoutsukai no Yome Recap;Special;Finished Airing;Dec 31, 2017;Slice of Life, Magic, Fantasy, Shounen;7.23;N/A;2629;4638;https://cdn.myanimelist.net/images/anime/9/89797.jpg;1
Mahoutsukai no Yome: Gakuin-hen;ONA;Finished Airing;Mar 10, 2019;Slice of Life, Magic, Fantasy, Shounen;6.94;N/A;3849;6929;https://cdn.myanimelist.net/images/anime/1973/102117.jpg;1
Mahoutsukai no Yome: Hoshi Matsu HitoThe Ancient Magus' Bride: Those Awaiting a Star;OVA;Finished Airing;Sep 10, 2016 to Sep 9, 2017;Slice of Life, Magic, Fantasy, Shounen;8.15;N/A;355;639;N/A;3
Mahoutsukai Precure!Maho Girls Precure!;TV;Finished Airing;Feb 7, 2016 to Jan 29, 2017;Action, Slice of Life, Magic, Fantasy, School, Shoujo;7.07;N/A;3336;4955;N/A;50
Mahoutsukai Precure! Movie: Kiseki no Henshin! Cure Mofurun!;Movie;Finished Airing;Oct 29, 2016;Action, Slice of Life, Magic, Fantasy, School, Shoujo;7.30;N/A;2352;8257;https://cdn.myanimelist.net/images/anime/4/84453.jpg;1
Mahoutsukai SallySally the Witch;TV;Finished Airing;Dec 5, 1966 to Dec 30, 1968;Magic, Fantasy, School, Shoujo;6.40;N/A;6332;7786;N/A;109
Mahoutsukai Sally (Movie);Movie;Finished Airing;Mar 10, 1990;Comedy, Magic, Shoujo;5.86;551;8516;11617;https://cdn.myanimelist.net/images/anime/7/47225.jpg;1
Mahoutsukai Sally 2;TV;Finished Airing;Oct 9, 1989 to Dec 22, 1990;Comedy, Magic, Shoujo;6.39;N/A;6362;9921;https://cdn.myanimelist.net/images/anime/6/6929.jpg;88
Mahoutsukai Sally Specials;Special;Finished Airing;Jan 1, 1990 to Dec 24, 1990;Magic, Shoujo;N/A;182;15171;14865;https://cdn.myanimelist.net/images/anime/12/78636.jpg;2
Mahoutsukai Tai!Magic User's Club OVA;OVA;Finished Airing;May 25, 1996 to Oct 25, 1997;Sci-Fi, Comedy, Magic, Romance, Fantasy;7.09;N/A;3234;5474;N/A;6
Mahoutsukai Tai! (TV)Magic User's Club;TV;Finished Airing;Jul 7, 1999 to Oct 6, 1999;Sci-Fi, Comedy, Magic, Romance, School;6.79;N/A;4454;5055;N/A;13
Mahoutsukai Tai! vs. Shamanic Princess;OVA;Finished Airing;1998;Comedy, Magic, Fantasy;5.89;N/A;8404;9662;https://cdn.myanimelist.net/images/anime/5/87883.jpg;1
MahoYome;ONA;Finished Airing;Oct 10, 2017 to Mar 27, 2018;Parody;6.66;N/A;5063;5281;https://cdn.myanimelist.net/images/anime/10/88137.jpg;24
MahoYome: Aisatsu;ONA;Finished Airing;Oct 3, 2017;Parody;6.04;N/A;7963;5415;https://cdn.myanimelist.net/images/anime/7/88136.jpg;1
Mai Mai Shinko to Sennen no MahouMai-Mai Miracle;Movie;Finished Airing;Aug 15, 2009;Adventure, Drama;7.24;N/A;2605;4506;N/A;1
Mai no Mahou to Katei no Hi;Special;Finished Airing;Feb 20, 2011;Drama, Magic;5.92;N/A;8329;9300;https://cdn.myanimelist.net/images/anime/11/27495.jpg;1
Mai ZhuPig Sale;Movie;Finished Airing;Aug 30, 2012;Comedy, Historical;5.43;449;9631;12130;N/A;1
Mai-HiMEMy-Hime;TV;Finished Airing;Sep 30, 2004 to Mar 31, 2005;Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai;7.47;N/A;1670;1320;N/A;26
Mai-HiME SpecialsMy-Hime Specials;Special;Finished Airing;Jan 28, 2005 to Jan 27, 2010;Comedy;6.94;N/A;3850;4622;N/A;27
Mai-HiME: Kuro no Mai/Saigo no Bansan;Special;Finished Airing;Jan 27, 2010;Comedy;6.71;N/A;4802;6141;https://cdn.myanimelist.net/images/anime/11/19697.jpg;1
Mai-OtomeMy-Otome;TV;Finished Airing;Oct 7, 2005 to Mar 31, 2006;Comedy, Drama, Fantasy, Magic;7.31;N/A;2284;2299;N/A;26
